year,population,bith,dead
1950,6703,252000,97000
1951,6831,256000,98000
1952,7042,264000,101000
1953,7316,262000,104000
1954,7637,286000,106000
1955,7992,300000,109000
1956,8371,313000,112000
1957,8765,326000,115000
1958,9169,340000,116000
1959,9581,354000,118000
1960,9995,371800,121000
1961,10480,377000,124000
1962,10958,368300,127000
1963,11321,352400,125000
1964,11610,330500,125000
1965,11910,320600,124000
1966,12185,313500,124000
1967,12456,307200,123000
1968,12694,302000,121000
1969,12900,302200,122000
1970,13105,306700,121000
1971,13320,317400,124000
1972,13533,318600,125000
1973,13742,321100,126000
1974,13955,338300,127000
1975,14136,343700,127000
1976,14279,350400,128000
1977,14425,349400,128000
1978,14588,355300,127000
1979,14753,354320,113687
1980,14919,356013,119078
1981,15096,367950,120974
1982,15279,373416,120165
1983,15463,378577,123807
1984,15647,399403,129796
1985,15780,396929,126786
1986,15965,410846,119149
1987,16167,417139,122835
1988,16362,407116,126898
1989,16537,382269,126378
1990,16670,362081,128576
1991,16525,353174,134324
1992,16440,337612,137518
1993,16381,315482,156070
1994,16146,305624,160339
1995,15816,276125,168656
1996,15578,253175,166028
1997,15334,232356,160138
1998,15072,222380,154314
1999,14928,217578,147416
2000,14882,222054,149778
2001,14854,221487,147876
2002,14854,227171,149381
2003,14901,247946,155277
2004,15013,273028,152250
2005,15147,278977,157121
2006,15307,301756,157210
2007,15481,321963,158297
2008,15672,356575,152706
2009,15989,357552,142780
2010,16324,367752,145875
2011,16559,372544,144213
2012,16900,379121,141220
2013,17035,393421,137630
2014,17289,401066,132236
2015,17557,398561,131867
2016,17818,409940,132373
2017,18014,390520,130033
